event,onset,timestamp,confidence,id,diameter,diameter_3d,orig_idx,colour,diameter_3d_pc,diameter_pc
0,42.78333333333333,500618.487958,0.9216398000717164,1,81.1632761591088,3.9110099248714336,2669,blue,624.8671895995826,249.6270004102272
0,42.8,500618.517722,0.9761980175971984,1,81.18248941498013,3.9118217420085992,2670,blue,625.0176519144296,249.70976534205715
0,42.81666666666667,500618.547294,1.0,1,81.29399801554145,3.9169730642196368,2671,blue,625.972398776638,250.19011087983176
0,42.833333333333336,500618.568294,0.9126350283622742,1,81.18523264033142,3.911511853456896,2672,blue,624.9602171219137,249.72158233240563
0,42.85,500618.591893,0.9462236762046814,1,81.21451336074563,3.912869196920875,2673,blue,625.2117873712755,249.84771487575193
0,42.86666666666667,500618.61271,0.9838723540306092,1,81.25426402633083,3.914594887848454,2674,blue,625.5316271970036,250.0189487961967
0,42.88333333333333,500618.6344,0.9978665709495544,1,81.2906972371404,3.9162495942419655,2675,blue,625.8383107381139,250.17589211851524
0,42.9,500618.654829,0.99,1,80.04915336647991,3.880975111269464,2676,blue,619.3005325611138,244.82769426452782
0,42.916666666666664,500618.689109,1.0,1,80.2338200297713,3.8886507348838246,2677,blue,620.7231338392091,245.62318274919375
0,42.93333333333333,500618.70666,0.9576559662818908,1,80.29204949074048,3.890604756359669,2678,blue,621.0852924843726,245.87401776642804
0,42.95,500618.729,0.9802827835083008,1,80.31567281490369,3.891481113404928,2679,blue,621.247716635854,245.97577994703187
0,42.96666666666667,500618.751718,0.9209898710250854,1,80.21797355211974,3.8863924010293656,2680,blue,620.30457389032,245.55492088606346
0,42.983333333333334,500618.772652,0.9525972604751588,1,80.35168099075825,3.8927750767145097,2681,blue,621.4875399975124,246.13089234650664
0,43.0,500618.79495,0.9753066897392272,1,80.4707184167311,3.89836342821504,2682,blue,622.5232859364125,246.64366980139712
0,43.016666666666666,500618.822882,1.0,1,80.50437810492654,3.899913703955277,2683,blue,622.8106142839536,246.78866562186462
0,43.03333333333333,500618.852523,1.0,1,80.48259790786486,3.8981716796583488,2684,blue,622.4877472290023,246.69484307886998
0,43.05,500618.87851,0.9461756944656372,1,80.37687644185564,3.892507537425899,2685,blue,621.4379542240247,246.23942677744677
0,43.06666666666667,500618.896287,0.9643529653549194,1,80.43861649760673,3.8958539007627992,2686,blue,622.0581697269239,246.5053843819069
0,43.083333333333336,500618.916162,0.9961419105529784,1,80.5047773415422,3.899044518890356,2687,blue,622.6495193884268,246.7903854132159
0,43.1,500618.936435,0.9652984142303468,1,80.4476833628339,3.896274323393258,2688,blue,622.1360909228397,246.5444417122971
0,43.11666666666667,500618.952879,0.9304113984107972,1,80.50271832838162,3.898716957559045,2689,blue,622.5888091201815,246.78151580334796
0,43.13333333333333,500618.980745,0.920727550983429,1,80.45976800923137,3.896519093093171,2690,blue,622.1814565772061,246.59649873698748
0,43.15,500619.003687,0.9343435764312744,1,80.51496740378145,3.89947468945458,2691,blue,622.7292472679075,246.83428113876204
0,43.166666666666664,500619.032268,0.9375336170196532,1,80.47505415314981,3.8975211802867182,2692,blue,622.3671835739852,246.6623468508015
0,43.18333333333333,500619.062335,0.8940398097038269,1,80.47350574222834,3.89721450663196,2693,blue,622.3103446309708,246.6556767619202
0,43.2,500619.096417,0.982218325138092,1,80.83816142164778,3.9150099233112217,2694,blue,625.6085499344191,248.22650383311978
0,43.21666666666667,500619.118698,0.9607955813407898,1,80.8043229298427,3.9132937437619697,2695,blue,625.290472949034,248.0807377804407
0,43.233333333333334,500619.137736,1.0,1,80.73087569823755,3.909752073189999,2696,blue,624.6340591727186,247.76434918094398
